entity,board_id,board_name,board_amountKind,board_defaultAmount,board_createdAt,checkin_id,checkin_boardId,checkin_amount,checkin_note,checkin_createdAt
Checkin,,,,,,7C681A0A-50FB-4B4D-BF4E-79C35D9DDADA,D087A067-A79A-472D-A1F2-A938EF405886,,,2026-01-27T20:28:00Z
Checkin,,,,,,A920B071-A7CF-4259-9497-7F1B97B7D89A,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2026-01-09T17:38:39Z
Checkin,,,,,,B80697F3-741A-409E-849F-F9ED9A5F26D9,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-01-08T13:53:02Z
Checkin,,,,,,DAC969F9-CAD6-4363-B729-08EF65E06DE2,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-03-21T14:23:21Z
Checkin,,,,,,D1B5FFCB-D1F0-411F-AE13-2DFDC31B1A19,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-04-07T15:51:00Z
Checkin,,,,,,A880BD17-7F60-4717-94D4-2257DA5CD0C5,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-03-22T18:12:41Z
Checkin,,,,,,308A7151-F8C4-420A-A2D4-2D212E4115EB,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-12-29T14:54:00Z
Checkin,,,,,,15B5F2B3-CA17-481D-BE0A-307476DB8587,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-07-23T19:11:21Z
Checkin,,,,,,D72B9476-9F8A-46FA-8F0B-C4C5F2741910,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-11-25T14:13:38Z
Checkin,,,,,,64802468-2949-4781-9AC8-55D70AD8DAC4,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2024-07-27T07:44:53Z
Checkin,,,,,,0F1F5D3F-42F5-4009-8A94-3D7D41350EBA,D087A067-A79A-472D-A1F2-A938EF405886,,,2026-01-07T15:58:31Z
Checkin,,,,,,9D11D023-52E8-4629-8443-E9FE6A306F23,7C0685D2-5C4C-4D55-9C60-E21C5D8CA51E,40.0,,2025-11-22T20:38:00Z
Checkin,,,,,,1086B9FE-A821-4D74-90C5-29B3A0110FAB,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2026-01-23T05:57:37Z
Checkin,,,,,,79CCF3D0-5355-49A1-A794-C6E75FB5A8E2,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-04-14T09:42:51Z
Checkin,,,,,,194F38E6-7158-45DD-970C-19C032D6D0EF,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2026-02-06T16:47:36Z
Checkin,,,,,,30A09A3C-18C7-4EAD-B549-C0CB582D556B,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-08-04T08:10:21Z
Checkin,,,,,,F00784D3-515D-4E3C-8D72-D3E04C60A13E,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-09-22T14:14:25Z
Checkin,,,,,,68077C7D-0FD4-499C-8856-AE7132E6CB5E,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-05-07T09:51:01Z
